LIMO compound,LIMO docked affinity,Closest REAL compound,REAL docked affinity,Compound similarity,Similarity
CC1=CC=C(C(=O)O)C=C1NC(=O)NC(=O)C2=CC3=CC(Cl)=C(C(=C)C(N))C=C3C(=O)2,3.00790367580552e-10,Clc1c(Cl)cc2c(NC=C(C(=O)Nc3c(ccc(c3)C(=O)C)C)C2=O)c1,8.44308018487042e-08,0.364,0.31645569620253167
O=C(NC1=CC=CC(C(=O)C)=C1)N2CCC(=O)C(C3=CC=CC(C(=O)C(=N)(C(C)))=C3)=C2,3.1111720327915203e-10,O=C(N1CC=C(c2ccc(cc2)CC)CC1)Nc3cc(ccc3)C(=O)C,1.6034035719839377e-07,0.425,0.4225352112676056
O=C(NC1=C(C(=O)N)C=CC2=C1C=C(C(=O)N)CC2)C(=O)C=CC3=CC=CC(C)=C3,3.16412824131163e-10,O=C(N)c1c(NC(=O)C=Cc2cc(ccc2)C)cc(cc1)C,4.2676205429835293e-07,0.484,0.4838709677419355
C=C(C(N)C1=CC=CC=C1)C(N)=CC2=CC=CC(=C2)CC3=CC=CC(C(=O)N)=C3,3.21798583361615e-10,O=C(N)c1cc(ccc1)CNC(=O)C([NH3+])c2ccccc2,2.1005047144726285e-07,0.527,0.43103448275862066
CC(C)(C(=O)C1CCC(C(C(=O)(N)))CC1)CCCCC2=CC=CC(C(=C)N)=C2C,3.21798583361615e-10,O=C(N1CCC(CC(=O)N)CC1)c2c(c(ccc2)CO)C,1.463118529005241e-06,0.431,0.4375
CC1=CC=C(C(=O)(N))C=C1CC2=CC(N)=CC=C2CCNC3=C(N)C=CC(=O)C3,3.38512165073199e-10,O=C(N)c1cc(c2c(ccc(N)c2)C[NH+]3CCOCC3)c(cc1)C,9.995428629292189e-08,0.366,0.38571428571428573
CC1=CC=CC=C1C(=O)NC=CC2=CC(=O)CC=C2C3=CC=CC(C(=O)N)=C3,3.50134078164389e-10,O=C(NNC(=O)c1cc(c2ccc(cc2)C(=O)N)ccc1)c3c(cccc3)C,1.069354314392057e-07,0.468,0.4603174603174603
O=C(CC1=CC(C(=O)C(=O)(N))=CC=C1)N2CCC(CC3=CC=C(C(=O)(N))C=C3)C2(=O),3.50134078164389e-10,O=C(N)c1cc(ccc1)CC(=O)N2CCN(C(=O)Cc3ccc(cc3)C(=O)N)CC2,3.9122955543925884e-09,0.527,0.5370370370370371
CC1=C(C(=O)N)C=CC=C1CSC2=CC=CC=C2C=C3C=C(C(=O)N)C4=CC=CN=C34,3.62154998670482e-10,O=C(NCC=CCNC(=O)c1c(c(ccc1)C(=O)N)C)c2c(c(c3ncccc3)ccc2)C,1.6823994310505976e-09,0.37,0.375
CC1=C(C(=O)N)C=CC=C1CCCCC=CC2=C(C(=O)N)C(=C)C3=CC=CC=C3C2,3.62154998670482e-10,O=C(NCC=CCNC(=O)c1cc2c3c(cccc3)Cc2cc1)c4c(c(ccc4)C(=O)N)C,8.859050551923627e-10,0.397,0.4027777777777778
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=CC3=CC(C)=CN=C(N)3,3.62154998670482e-10,O=C(Nc1c(ncc(c1)C)C)CCc2c(cccc2)C[NH3+],1.715390696090709e-07,0.414,0.3064516129032258
C(N)CCCCC1=CC=C(C(=O)N)C=C1N2CCCC(C3=CC=CC(C(=O)N)=C3)C(=O)2,3.7458862544776e-10,Fc1c(N2C(=O)C(N(C=O)Cc3cc(ccc3)C(=O)N)CCC2)ccc(F)c1,1.2537333137184442e-08,0.37,0.3924050632911392
CC(=C(C(=O)N))C1=CC=CC=C1CCNC2=CC=CC=C2C3=C(N)NC(=O)CS3,3.80964612744314e-10,S1c2c(NC(=O)C1)cc(cc2)C(=O)NCCNC(=O)C=C(c3c(cccc3)C)C,1.7277310266162335e-08,0.35,0.37037037037037035
O=C(CC1=CC=CC(C(C)C)=C1)N2C(C(=C)C)=CCC(C3=CC=C(C(=O)N)C=C3)=C2,3.80964612744314e-10,O=C(OCc1cc(ccc1)C(C)C)c2cc(c3ccc(cc3)C(=O)N)ccc2,8.083954182461677e-09,0.435,0.43478260869565216
CC1=CC=CC=C1NC=CC=CC2=CC=CC3=C2C=CC(C(=C(C(N)))(N))=C3,3.87449127666227e-10,O=C(Nc1c(cccc1)C)C=Cc2c3c(ccc2)cccc3,1.1440416335501129e-07,0.381,0.4098360655737705
CN(CC1=CC(C(=O)N)=CC=C1)C(=O)CC(=O)C2=CCC(=C)C(C)=C2NC3=CC=CC=C3,3.87449127666227e-10,O=C(N(Cc1cc(ccc1)C(=O)N)C)CNc2ccccc2,1.354385632577588e-07,0.531,0.5396825396825397
O=C(CC1=CC=CC=C1)NCCCC2=C(C(=O)N)CCC3=C2C=C(C(=O)N)CC3,3.94044017495324e-10,O=C(N)c1ccc(cc1)CC(=O)NCCCCNC(=O)CCNC(=O)Cc2ccccc2,3.69256731663388e-08,0.448,0.4482758620689655
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=C(N)C(Cl)=C(N)C,3.94044017495324e-10,Clc1c(cccc1)C=C(C(=O)NCc2c(cccc2)C[NH3+])C,4.6768036128584304e-08,0.339,0.24193548387096775
C(C(=O)(N))=CC1=CC(C(=O)O)=CC=C1CC(=O)C2=C(C)C3=CC=C(C(=C)(C))C=C3C2=O,3.94044017495324e-10,[O-]C(=O)c1cc(c(cc1)CNC(=O)c2cc3c(c4c(cccc4)C3=O)cc2)C,3.5700008510608346e-08,0.347,0.2631578947368421
O=C(NCC1=CC=C(N)C=C1)CC2=C(C(=O)C)CC3=CC=CC(C(=O)N)=C3S2,3.94044017495324e-10,O=C(N)c1c(cccc1)CC(=O)NCc2ccc(N)cc2,3.36949708418157e-07,0.509,0.5370370370370371
C(CC1=CC=C(C(=N)C)C=C1)C(O)C2=CC=CC=C2CC3=CC=CC(C(=O)N)=C3,4.00751160956583e-10,O=C(N)c1cc(ccc1)CNc2ccc(cc2)CCC(O)c3ccccc3,1.3873481875084242e-08,0.5,0.4918032786885246
C(C(=O)C)=C(CC1=CC(C(=O)N)=CC=C1)CCC=C2CCC=C2[NH1]C3=CC=CC=C3,4.07572468753327e-10,O=C(N)c1cc(ccc1)CC(=O)Nc2ccc(Nc3ccccc3)cc2,7.629930967206321e-08,0.446,0.453125
NC(=O)C1=CC=C(C(=O)N)C=C1CC(=C)C2=C(C(=O)N)C3=CC=CC(C(=O)C)=C3S2,4.07572468753327e-10,S1c2c(cccc2)C(C(=O)NCCNC(=O)c3c(ccc(c3)C(=O)N)C)=C1C(=O)C,3.0668876159758165e-08,0.366,0.38028169014084506
O=C(NC1=CC=CC=C1C)N2CC(C(=C)C(C(=O)C))=CC3=CC=C(C(=O)C(C(N)))C=C32,4.07572468753327e-10,O=C(Nc1c(cccc1)C)CCC(=O)c2cc3c(cc2)CCCC3,5.824247135708563e-08,0.37,0.38028169014084506
C(C(=O)N)=C(CC1=CC=CC(C(=O)C)=C1)N2CCCC(C3=CC=CC(C(=O)N)=C3)=C2,4.1450988411155e-10,O=C(N1CCN(C(=O)Cc2cc(ccc2)C(=O)N)CCC1)c3cc(ccc3)C(=O)C,6.82846888359762e-09,0.47,0.4696969696969697
CC1=CC(C(C(C(=O)(N))))=CC=C1C2=CC=C(C=C2CC(=O)CC=CC(=C(N))C)C,4.21565383333484e-10,O=C(Nc1ccc(cc1)CCC(=O)N)CCCc2c(ccc(c2)C)C,3.451502703596816e-08,0.388,0.3880597014925373
CC1=CC=CC=C1CCCC(=O)NC=CC2=CC3=CC=C(C(=O)C(=O)(N))C=C3C2,4.28740976360603e-10,O=C(NCCCCNC(=O)CCc1c(cccc1)C)C(=O)c2cc3c(cc2)CCCC3,2.0802076631645675e-08,0.4,0.40540540540540543
CCC1=C(N)C=C(C(=O)N)C=C1CCCC2=CC=CC=C2C3=CCCCC(=N)3,4.28740976360603e-10,O=C(N1CCN(C(=O)C2=CCCC2)CC1)c3cc(N)c(cc3)CCCC,3.0668876159758165e-08,0.356,0.3561643835616438
O=C(CC1=CC=CC(=O)C1)CC2=CC(C(=O)N)=CC=C2C(=O)ONC(=O)C3=CC=CC=C3,4.43460655237778e-10,O=C1N(C(=O)CN1C)Cc2c(NC(=O)c3ccccc3)cc(cc2)C(=O)N,3.33693783557396e-08,0.325,0.32894736842105265
C(C(=O)N)C1=CC=CC=C1NC(=O)NCC2=CC3=CC(C)=C(C(=O)C(N))C=C3C2,4.58685695062923e-10,O=C(Nc1c(cccc1)CC(=O)N)NCc2c(cc(c(c2)C)C)C,9.663652860855617e-08,0.532,0.5409836065573771
O=C(CC1CCCCC1)NCC2CC3=C(C(=O)C(C(C(=O)N)))C=CC=C3CC2,4.58685695062923e-10,O=C(NCCNC(=O)CC1CCCCC1)c2c3c(ccc2)CCCC3,1.4594043073710918e-08,0.508,0.5081967213114754
