LIMO compound,LIMO docked affinity,Closest REAL compound,REAL docked affinity,Compound similarity
CC(N)(C)C1=CC=C(C(=O)N)C=C1N2CCCC(C3=CC(C(=O)C(C(C(=O)N)))=CC=C3)=C2,1.00417780505609E-10,Brc1cc(ccc1)C(=O)CCC(=O)Nc2c(N3CCCC3)ccc(c2)C(=O)N,7.556203401040325e-09,0.359
CC1=CC=CC=C1CC(=O)NCC(=O)C2=CC(=O)CC=C2C3=CC=CC(C(=O)C(N))=C3,1.021270221893E-10,O=C(NCCNC(=O)Cc1c(cccc1)C)c2cc(c3ccccc3)ccc2,6.601813219781305e-09,0.462
CC1=C(C(N))CCC=C1CCC=CC2=CC=CC=C2C=CC3=CC=C(C(=O)N)C=C3,1.27183663395464E-10,O=C(N)c1ccc(cc1)C=CC(=O)N(CCN(C(=O)C2=CCC2)C)C,3.485179787238657e-07,0.362
O=C(CC1=CC=CC(=C(N))C(=O)1)CC2=CC=CC=C2C=CC3=CC=C(C(=O)N)C=C3,1.337893312276E-10,Fc1c(O)c(ccc1)CC(=O)NCCNC(=O)C=Cc2ccc(cc2)C(=O)N,1.9967951264484666e-07,0.438
CC(N)(C)C1=CC=CC=C1NCC2=CC(N)=CC=C2CC3CCC(N)(C)CC3,1.53130566707913E-10,FC(F)(c1c(NCc2ccc(cc2)CC3CC3)cccc1)C,4.125966479155306e-07,0.377
O=C(CC1=CC(C(=C)N)=CC=C1)N2CCN(CC3=CC=C(C(=C(C(=O)N))N)C=C3)C(=O)2,1.5573704881045E-10,O=C(N)c1cc(ccc1)CC(=O)N2CC(=O)N(Cc3ccccc3)CC2,4.01771083005885e-08,0.455
O=C(CCC1=CC=CC(C(=C(N))(C(=O)N))=C1)N(C(=O)(N))C(=O)C=CCC2=CC=CC=C2,1.63825722985531E-10,O=C(N)c1cc(ccc1)CCNC(=O)CC=CCc2ccccc2,6.44495812539366e-08,0.406
O=C(CC1=CC=C(C(=O)C)C=C1)NCC2=CC(C(C(N)))=CC=C2[CH1]C=CC3CCCCC3,1.72334506893076E-10,O=C(NCC=CCNC(=O)Cc1ccc(cc1)C(=O)C)C=CC2CCCCC2,1.7571392636239635e-08,0.538
C(C(=O)N)=1C2=CC=CC(C(=O)N)=C2C=CC=1C=CC3=CC(C(=C(N))N)=CC=C3C,1.87509165132388E-10,O=C(N)c1c(c2c(ccc(c2)C(=O)N)C)cccc1C(=O)N,2.615858945450191e-07,0.407
C(C(C(=O)N))CC1=CC=CC=C1CCNC2=CC=CC=C2C3=CCC(=C)C(=O)S3,2.0402000529389E-10,O=C(Nc1c(cccc1)CCC(=O)N)C=2c3c(cccc3)CC2,2.634677144749383e-08,0.373
CN(CC1=CC=CC(N)=C1)C(=O)CC=CC2=C(C(=C)N)C=CC=C2CC3=CC=CC=C3,2.14616400696432E-10,O=C(N(Cc1cc(N)ccc1)C)c2c(cccc2)Cc3ccccc3,1.5613340361974413e-08,0.586
O=C(NCC1=CC=CC=C1)CC2CC(=O)C3=CC=C(C(C(C(C(C(=O)N)))))C=C3S2,2.18269451941213E-10,S1C(=NCCC(=O)N)N(C(=O)C1CC(=O)NCc2ccccc2)CCCCc3cc(F)c(F)cc3,1.7571392636239635e-08,0.457
O=C(CC1=CC=CC=C1)NCC(C(=O)N)=CC2=CC=C3C(=C2)C(=C(C(C(N)))(N))CC3,2.25763151910234E-10,O=C(Oc1cc2c(cc1)CCC2=O)CCNC(=O)Cc3ccccc3,7.131820520357163e-08,0.389
O=C(C1=CC(C(C))=CC=C1)NCC2=CC=CC(C(=C))=C2CCC(=C(N)(C))C(=O)N,2.3351412809783E-10,O=C(NCc1c(cccc1)CCC(=O)OC)c2cc(ccc2)CC,1.9967951264484666e-07,0.492
O=C(CC1=CC(C(=C)N)=C(N)C=C1)N2CC(C(=O)N)=C(C3=CC=CC(C(=O)N)=C3)C2,2.3351412809783E-10,O=C(N1CC2=C(C1)CN(C(=O)Cc3cc(ccc3)C(=O)N)C2)c4c(N)ccc(c4)CC,2.241506370730649e-09,0.538
CC1=CC=C(C(=O)(N))C=C1C(=O)CN(C)C2CC3=CC(C(C(C(C(=O)N))))=CC=C3CC2,2.49823543956009E-10,O=C(NC1C(NC(=O)CCCc2cc3c(cc2)CCCC3)CC1)c4c(ccc(c4)C(=O)N)C,1.7401601321116977e-09,0.514
N#CC1=C(C(=O)N)C=CC=C1CCC(=N)C=CC2=CC3=CC(C(=O)N)=CC=C3C=C2,2.54075866729398E-10,O=C(OC)c1c(C#N)c(ccc1)COC(=O)C=Cc2cc3c(cc2)cccc3,5.726770035455663e-08,0.451
C=C(CC1=CC=CC2=C1C=C(C(=O)N)C=C2)C=C(N)C3(C(=O)O)CC4=CC=CC=C4C3,2.6279888453013E-10,[O-]C(=O)c1cc2c(cc1)cccc2CNC(=O)C3(Cc4c(cccc4)C3)C,2.0601067410482055e-09,0.441
O=C(CC1=C(C(=O)O)C=CC2=C1C=C(C(=O)N)C=C2)C=CC3(N)CC4=CC=CC=C4C3,2.67272064534754E-10,Fc1c(cc(cc1)C(=O)N)C(=O)NCC2(C([O-])=O)Cc3c(cccc3)C2,8.026214485119952e-08,0.366
CC1=CC=C(C(=O)O)C=C1NC(=O)NC(=O)C2=CC3=CC(Cl)=C(C(=C)C(N))C=C3C(=O)2,3.00790367580552E-10,Clc1c(Cl)cc2c(NC=C(C(=O)Nc3c(ccc(c3)C(=O)C)C)C2=O)c1,8.443080184870419e-08,0.364
O=C(NC1=CC=CC(C(=O)C)=C1)N2CCC(=O)C(C3=CC=CC(C(=O)C(=N)(C(C)))=C3)=C2,3.11117203279152E-10,O=C(N1CC=C(c2ccc(cc2)CC)CC1)Nc3cc(ccc3)C(=O)C,1.6034035719839377e-07,0.425
O=C(NC1=C(C(=O)N)C=CC2=C1C=C(C(=O)N)CC2)C(=O)C=CC3=CC=CC(C)=C3,3.16412824131163E-10,O=C(N)c1c(NC(=O)C=Cc2cc(ccc2)C)cc(cc1)C,4.2676205429835293e-07,0.484
C=C(C(N)C1=CC=CC=C1)C(N)=CC2=CC=CC(=C2)CC3=CC=CC(C(=O)N)=C3,3.21798583361615E-10,O=C(N)c1cc(ccc1)CNC(=O)C([NH3+])c2ccccc2,2.1005047144726285e-07,0.527
CC(C)(C(=O)C1CCC(C(C(=O)(N)))CC1)CCCCC2=CC=CC(C(=C)N)=C2C,3.21798583361615E-10,O=C(N1CCC(CC(=O)N)CC1)c2c(c(ccc2)CO)C,1.463118529005241e-06,0.431
CC1=CC=C(C(=O)(N))C=C1CC2=CC(N)=CC=C2CCNC3=C(N)C=CC(=O)C3,3.38512165073199E-10,O=C(N)c1cc(c2c(ccc(N)c2)C[NH+]3CCOCC3)c(cc1)C,9.995428629292189e-08,0.366
CC1=CC=CC=C1C(=O)NC=CC2=CC(=O)CC=C2C3=CC=CC(C(=O)N)=C3,3.50134078164389E-10,O=C(NNC(=O)c1cc(c2ccc(cc2)C(=O)N)ccc1)c3c(cccc3)C,1.069354314392057e-07,0.468
O=C(CC1=CC(C(=O)C(=O)(N))=CC=C1)N2CCC(CC3=CC=C(C(=O)(N))C=C3)C2(=O),3.50134078164389E-10,O=C(N)c1cc(ccc1)CC(=O)N2CCN(C(=O)Cc3ccc(cc3)C(=O)N)CC2,3.9122955543925884e-09,0.527
CC1=C(C(=O)N)C=CC=C1CSC2=CC=CC=C2C=C3C=C(C(=O)N)C4=CC=CN=C34,3.62154998670482E-10,O=C(NCC=CCNC(=O)c1c(c(ccc1)C(=O)N)C)c2c(c(c3ncccc3)ccc2)C,1.6823994310505978e-09,0.37
CC1=C(C(=O)N)C=CC=C1CCCCC=CC2=C(C(=O)N)C(=C)C3=CC=CC=C3C2,3.62154998670482E-10,O=C(NCC=CCNC(=O)c1cc2c3c(cccc3)Cc2cc1)c4c(c(ccc4)C(=O)N)C,8.859050551923628e-10,0.397
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=CC3=CC(C)=CN=C(N)3,3.62154998670482E-10,O=C(Nc1c(ncc(c1)C)C)CCc2c(cccc2)C[NH3+],1.7153906960907087e-07,0.414
C(N)CCCCC1=CC=C(C(=O)N)C=C1N2CCCC(C3=CC=CC(C(=O)N)=C3)C(=O)2,3.7458862544776E-10,Fc1c(N2C(=O)C(N(C=O)Cc3cc(ccc3)C(=O)N)CCC2)ccc(F)c1,1.2537333137184442e-08,0.37
CC(=C(C(=O)N))C1=CC=CC=C1CCNC2=CC=CC=C2C3=C(N)NC(=O)CS3,3.80964612744314E-10,S1c2c(NC(=O)C1)cc(cc2)C(=O)NCCNC(=O)C=C(c3c(cccc3)C)C,1.7277310266162335e-08,0.35
O=C(CC1=CC=CC(C(C)C)=C1)N2C(C(=C)C)=CCC(C3=CC=C(C(=O)N)C=C3)=C2,3.80964612744314E-10,O=C(OCc1cc(ccc1)C(C)C)c2cc(c3ccc(cc3)C(=O)N)ccc2,8.083954182461677e-09,0.435
CC1=CC=CC=C1NC=CC=CC2=CC=CC3=C2C=CC(C(=C(C(N)))(N))=C3,3.87449127666227E-10,O=C(Nc1c(cccc1)C)C=Cc2c3c(ccc2)cccc3,1.1440416335501127e-07,0.381
CN(CC1=CC(C(=O)N)=CC=C1)C(=O)CC(=O)C2=CCC(=C)C(C)=C2NC3=CC=CC=C3,3.87449127666227E-10,O=C(N(Cc1cc(ccc1)C(=O)N)C)CNc2ccccc2,1.354385632577588e-07,0.531
O=C(CC1=CC=CC=C1)NCCCC2=C(C(=O)N)CCC3=C2C=C(C(=O)N)CC3,3.94044017495324E-10,O=C(N)c1ccc(cc1)CC(=O)NCCCCNC(=O)CCNC(=O)Cc2ccccc2,3.6925673166338796e-08,0.448
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=C(N)C(Cl)=C(N)C,3.94044017495324E-10,Clc1c(cccc1)C=C(C(=O)NCc2c(cccc2)C[NH3+])C,4.6768036128584304e-08,0.339
C(C(=O)(N))=CC1=CC(C(=O)O)=CC=C1CC(=O)C2=C(C)C3=CC=C(C(=C)(C))C=C3C2=O,3.94044017495324E-10,[O-]C(=O)c1cc(c(cc1)CNC(=O)c2cc3c(c4c(cccc4)C3=O)cc2)C,3.570000851060834e-08,0.347
O=C(NCC1=CC=C(N)C=C1)CC2=C(C(=O)C)CC3=CC=CC(C(=O)N)=C3S2,3.94044017495324E-10,O=C(N)c1c(cccc1)CC(=O)NCc2ccc(N)cc2,3.36949708418157e-07,0.509
C(CC1=CC=C(C(=N)C)C=C1)C(O)C2=CC=CC=C2CC3=CC=CC(C(=O)N)=C3,4.00751160956583E-10,O=C(N)c1cc(ccc1)CNc2ccc(cc2)CCC(O)c3ccccc3,1.3873481875084242e-08,0.5
C(C(=O)C)=C(CC1=CC(C(=O)N)=CC=C1)CCC=C2CCC=C2[NH1]C3=CC=CC=C3,4.07572468753327E-10,O=C(N)c1cc(ccc1)CC(=O)Nc2ccc(Nc3ccccc3)cc2,7.629930967206321e-08,0.446
NC(=O)C1=CC=C(C(=O)N)C=C1CC(=C)C2=C(C(=O)N)C3=CC=CC(C(=O)C)=C3S2,4.07572468753327E-10,S1c2c(cccc2)C(C(=O)NCCNC(=O)c3c(ccc(c3)C(=O)N)C)=C1C(=O)C,3.0668876159758165e-08,0.366
O=C(NC1=CC=CC=C1C)N2CC(C(=C)C(C(=O)C))=CC3=CC=C(C(=O)C(C(N)))C=C32,4.07572468753327E-10,O=C(Nc1c(cccc1)C)CCC(=O)c2cc3c(cc2)CCCC3,5.824247135708563e-08,0.37
C(C(=O)N)=C(CC1=CC=CC(C(=O)C)=C1)N2CCCC(C3=CC=CC(C(=O)N)=C3)=C2,4.1450988411155E-10,O=C(N1CCN(C(=O)Cc2cc(ccc2)C(=O)N)CCC1)c3cc(ccc3)C(=O)C,6.82846888359762e-09,0.47
CC1=CC(C(C(C(=O)(N))))=CC=C1C2=CC=C(C=C2CC(=O)CC=CC(=C(N))C)C,4.21565383333484E-10,O=C(Nc1ccc(cc1)CCC(=O)N)CCCc2c(ccc(c2)C)C,3.451502703596816e-08,0.388
CC1=CC=CC=C1CCCC(=O)NC=CC2=CC3=CC=C(C(=O)C(=O)(N))C=C3C2,4.28740976360603E-10,O=C(NCCCCNC(=O)CCc1c(cccc1)C)C(=O)c2cc3c(cc2)CCCC3,2.0802076631645675e-08,0.4
CCC1=C(N)C=C(C(=O)N)C=C1CCCC2=CC=CC=C2C3=CCCCC(=N)3,4.28740976360603E-10,O=C(N1CCN(C(=O)C2=CCCC2)CC1)c3cc(N)c(cc3)CCCC,3.0668876159758165e-08,0.356
O=C(CC1=CC=CC(=O)C1)CC2=CC(C(=O)N)=CC=C2C(=O)ONC(=O)C3=CC=CC=C3,4.43460655237778E-10,O=C1N(C(=O)CN1C)Cc2c(NC(=O)c3ccccc3)cc(cc2)C(=O)N,3.33693783557396e-08,0.325
C(C(=O)N)C1=CC=CC=C1NC(=O)NCC2=CC3=CC(C)=C(C(=O)C(N))C=C3C2,4.58685695062923E-10,O=C(Nc1c(cccc1)CC(=O)N)NCc2c(cc(c(c2)C)C)C,9.663652860855617e-08,0.532
O=C(CC1CCCCC1)NCC2CC3=C(C(=O)C(C(C(=O)N)))C=CC=C3CC2,4.58685695062923E-10,O=C(NCCNC(=O)CC1CCCCC1)c2c3c(ccc2)CCCC3,1.4594043073710918e-08,0.508
O=C(C1=CC(N)=CC=C1NC(=O)C2=CC=CC=C2)C3CCCC(C(C(=O)(N)))=3,4.66493124242965E-10,O=C(Nc1c(NC(=O)c2ccccc2)cccc1)c3ccc(cc3)CC(=O)N,2.590582057060172e-08,0.444
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=O)N)C(=O)CC(=C2)CCCC(=O)(N),4.8250892251248E-10,O=C(NCCC(=O)NCC=CCNC(=O)CCCCC(=O)N)Cc1ccccc1,9.828140844988804e-08,0.508
C=C(N)C1=CC=CC=C1CCC2=CC=CC=C2CCC(N)C3CCCCC3,4.90721854116415E-10,O=C(N)c1c(cccc1)CCC(=O)NC(C2CCCCC2)C3CCCCC3,3.2493844409427557e-09,0.436
CCC1=CC=C(C(=C(=N))C(C(=O)(N)))C(O)=C1CC(=O)NC(=O)C2=CC=CC=C2,4.90721854116415E-10,O=C(OCC(=O)NC(=O)c1ccccc1)c2c(O)c(ccc2)CC,3.6048341476239144e-07,0.438
C(=O)(CC1=CC=C(C)C=C1)NCC=CC2=C(C(=O)N)C=CC=C2NC(=C)C(=O)CC,5.07569481259313E-10,O=C(N)c1c(NCC(=O)NCC=CCNC(=O)Cc2ccc(cc2)C)cccc1,1.4247297425566048e-07,0.565
O=C(CC1=CC=CC=C1)NC(=C)C=CC2=CC3=CC=C(C(C(CC))N)C=C3C=C2,5.07569481259313E-10,O=C(OCC(=O)NC(=O)Cc1ccccc1)C=Cc2cc3c(cc2)cccc3,3.3937368727139225e-08,0.492
O=C(CC1=CC=C(C(=O)N)C=C1)C(=C)C2=CN=NN=C2CC3=CC=CC(C(=O)N)=C3,5.07569481259313E-10,O=C(N)c1cc(ccc1)CC(=O)NCCNC(=O)Cc2ccc(cc2)C(=O)N,5.263316539506193e-08,0.439
O=C(CC1=CC(C(=O)N)=CC=C1)CCC2=CC=CC=C2CC=C(C(=O)O)C3=CCCC=C3,5.07569481259313E-10,O=C(N)c1c(cccc1)CCC(=O)NCC=CCNC(=O)Cc2cc(ccc2)C(=O)N,3.33693783557396e-08,0.392
CC(C(=O)C1=CC=CC=C1)C(=N)CCC(=O)N2CCC3=CC=C(C(=O)N)C=C3C2,5.07569481259313E-10,O=C(OC(C(=O)c1ccccc1)C)CCC(=O)N2Cc3c(cc(OC)c(OC)c3)CC2,7.012459310633414e-08,0.507
O=C(CC1=CC=C(C(=O)C)C=C1)NCC2=CC(N)=CC(C)=C2N3CCCC(C)C3,5.16208976280712E-10,Clc1c(N2CC(CCC2)C)ccc(c1)CNC(=O)Cc3ccc(cc3)C(=O)C,1.8484016003142754e-08,0.612
C1=CC=C(C(=O)(N))C=C1CC(=O)NC(=O)C2=CC3=CC(C(=O)(N))=CC=C3C(=C(N))2,5.16208976280712E-10,O=C(NCC=CCNC(=O)Cc1cc(ccc1)C(=O)N)c2ccc(cc2)C(=O)N,1.1329868277338134e-08,0.483
O=C(C(=C)CC1=CC=CC(C(=C)N)=C1)CCC(C)=C(C(=O)N)C2=CC=C(C(=O)O)C=C2,5.16208976280712E-10,O=C(N)c1cc(ccc1)CC(=O)Nc2ccc(cc2)C(=O)C,3.2031327089714976e-07,0.355
C=C(C1=CC=CC=C1)CC2=CC=CC=C2C(C(=O)C)CC3=CC=CC(C(=O)(C(N)))=C3,5.24995526783143E-10,Fc1cc(ccc1)CC(C(=O)OCC(c2ccccc2)=C)C,7.448648416157136e-07,0.375
CC1=CC=CC=C1C(=O)NC=CC2=CC=C(C)N=C2CC(=O)CC3=CC(C(=O)O)=CC=C3,5.61662988575448E-10,O=C(NNC(=O)c1cc(ccc1)CNc2nc(cc(n2)C)C)c3c(cccc3)C,5.352905056385263e-08,0.414
C(C(=O)(N))=CC1=CC=CC=C1CC(=C)C2=C(C)C3=CC=C(C(=O)(N))C=C3C(=O)2,5.61662988575448E-10,[O-]C(=O)C=Cc1c(c2c(ccc(c2)C(=O)N)C)cccc1,2.3243630655657437e-07,0.419
O=C(CC1=CC(C(N))=CC=C1)C(C)C2=CC=CC=C2CC3=CC=C(N)C(C(=O)N)=C3,5.61662988575448E-10,O=C(N)c1c(cccc1)CC(=O)NC(C(=O)Cc2ccccc2)C,5.923383423429206e-08,0.375
O=C(C1=CC=C(C(=O)C)C=C1)NC2=NN=C(N)CN2C=CC3=CC=CC(C(C(=O)(N)))=C3,5.71223225691086E-10,O=C(Nc1cc(NC(=O)c2ccc(cc2)CC(=O)N)ccc1)c3ccc(cc3)C(=O)C,6.779696498481721e-08,0.46
C(C(=O)(N))#CC1=CC=C(C(=O)C(C(C(=O)N)))C=C1CC(=O)C2=CC3=CC=CC=C3C2,5.80946190519904E-10,O=C(N1CCN(C(=O)CCC(=O)N)CC1)C2=Cc3c(cccc3)C2,1.0338595034593203e-07,0.429
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=C(N))N)C=CC=C2CC(=O)CCC,5.90834652899958E-10,O=C(NCC=CCNC(=O)CCNC(=O)Cc1ccccc1)c2c(N)c(ccc2)CC,4.01771083005885e-08,0.485
O=C(CC1=CC=CC=C1)C(=C)C2=CC=CC=C2CC3=CCCC(C(=O)C(=O)(N))=C3,5.90834652899958E-10,O=C(N1CCN(C(=O)C2=CCC2)CC1)c3c(cccc3)Cc4ccccc4,4.155648224664381e-08,0.393
O=C(C1=CC(N)=CN=C1NC(=O)C2=CC=C(C(=O)O)C2)CCCC3CCCCC3,5.90834652899958E-10,O=C(OC)c1c(ncc(C#N)c1)NC(=O)CCCC2CCCCC2,3.5445020958727777e-07,0.4
CC1=CC=C(N)C=C1CC2=CC=CC=C2CCC(C)CC3=C(N)C(N)=CC=C3,6.00891429815573E-10,Fc1c(cccc1)CCC([NH2+]Cc2c(ccc(N)c2)C)C,1.866436868034807e-07,0.439
O=C(CCC1=CC=CC2=C1C=C(C(=O)N)C=C(N)2)NC3=CC(=N)CCC3,6.11119386199814E-10,O=C(N)c1cncc(c1)C=2N=NN(c3c(cccc3)CCC(=O)Nc4cc5c(cc4)CCC5)C2,1.8616987965412166e-09,0.322
O=C(CC1=C(C)C2=CC=CC=C2C(=O)1)NC=CC3=CC4=CC(C(=O)C)=CC=C4N3,6.11119386199814E-10,O=C1OC(C(=O)NCC=CCNC(=O)C=2Nc3c(cc(cc3)C)C2)=C(c4c1cccc4)C,2.887292219440181e-09,0.329
O=C(CC1=CC(N)=CC=C1)C(C)C2=CC=CC=C2CC3=CC=C(N)C(C(=O)N)=C3,6.11119386199814E-10,O=C(N)c1c(cccc1)CC(=O)N(Cc2cc(N)ccc2)C,1.5242376825949801e-07,0.443
O=C(CCC1=CC=CC=C(N)1)NCC2CC(=O)C3=CC=CC(C(=C)N)=C3C=2,6.21521435750654E-10,O=C(NCc1c(c2ccccc2)cccc1)CCc3c(N)cccc3,1.1718849111824172e-08,0.492
O=C(CC1=CC=CC=C1)NCC=CC2=C(C(=O)O)C=CC(=C2)CC(=O)CCC(N)C,6.32100541761001E-10,O=C(NCC=CCNC(=O)CCNC(=O)Cc1ccccc1)Cc2ccc(cc2)C(C)C,3.451502703596816e-08,0.446
CCC(N)C1=CC=CC(C(=O)C)=C1CCNC(=O)CC2=CC3=CC=CC=C3S2,6.42859717962888E-10,S1c2c(cccc2)C=C1CC(=O)NCCNC(=O)c3c(cccc3)C(=O)C,1.0514571415418938e-07,0.6
O=C(N)C1=CC=CC=C1CCC2=CC=CC=C2C(=C)C(C3)CCC(C(=C(C(=O)(N)))N)C3,6.42859717962888E-10,O=C(N)c1c(cccc1)CCC(=O)N2CCN(C(=O)C=C(C3CC3)C4CC4)CC2,1.2537333137184442e-08,0.474
CCC1=CC(N)=C(C(=O)N)C=C1CC(=O)C=C(C(=O)NC)C2=CC=C(C)C=C2,6.42859717962888E-10,Fc1c(cc(N)c(c1)C(=O)NCC=CCNC(=O)c2ccc(cc2)C)CC,1.1833192542966173e-07,0.415
CC1=C(C(=C)N)C=CC=C1CCC=C(CCNC(=O)C(N))CC2=CC=CC=C2C,6.42859717962888E-10,O=C(NCCNC(=O)Cc1c(cccc1)C)c2c(c(ccc2)C(=O)N)C,3.172181029362035e-08,0.446
CN(C1=CC=C(C(=C)N)C=C1)C(=O)C2=CC=CC=C2C=CC3=CCCC(C)=C3,6.5380202938598E-10,O=C(N(c1ccc(cc1)C(=O)N)C)c2c(c3c(cccc3)C)cccc2,2.0453924147377183e-08,0.393
O=C(CC1=CC=CC=C1)NCC2=CC=CC=C2CC(=C(=O))CC3=CC(=O)CC=C3,6.5380202938598E-10,O=C(NCCNC(=O)Cc1ccccc1)Cc2c(cccc2)CC#N,9.663652860855617e-08,0.39
CN(CC1=CC(C(=O)(N))=CC=C1)C(=O)CC(C)C2=CC=CC=C2NC3=CC=CC=C3,6.6493059323077E-10,O=C(N)c1cc(ccc1)CN(C(=O)CC(c2c(cccc2)C)C)C,4.2983213321261525e-08,0.709
CC(N)(C)C1=CC=CC=C1CCCCC2=CC=CC=C2NC3=C(N)C=CCC3,6.6493059323077E-10,O=C(Nc1c(cccc1)CCC[NH3+])c2c(cccc2)C(C)(C)C,4.445892740524959e-08,0.333
O=C(NCC1=CC(N)=CC=C1)CC2=C(C(=O)C(N))C(=C)CC3=CC=CC=C23,6.6493059323077E-10,O=C(NCc1cc(N)ccc1)CC2=Cc3c(cccc3)C2,5.726770035455663e-08,0.516
CC1=CC=CC=C1CC(N)=CC(=O)CC2=CC(N)=NN=C2C3=CC=CC(C(=O)N)=C3,6.6493059323077E-10,O=C(N)c1cc(ccc1)C=2N=NN(C2)Cc3c(cccc3)C,1.6034035719839377e-07,0.462
NC1=CC(C(=O)(N))=CC2=C1CC(=C)C(=O)N2CCC(=O)NC3=NC=CC(C)=C3,6.76248579756553E-10,O=C1N(C(c2c1cccc2)=C)CCC(=O)Nc3nccc(c3)C,1.7445888845670106e-07,0.529
O=C(NC1=CC=CC=C1)C=CC(=O)C2=CC=CC3=C2C=CC=C(C(=C)C(=O)(N))3,6.8775921318459E-10,O=C(Nc1ccccc1)c2c3c(c(N)ccc3)ccc2,4.056912532995847e-07,0.438
CC(N)(C)C1=CC=CC=C1CCN(C(=O)C(=O)(N))CCC=CC2=CC=CN=C(N)2,6.8775921318459E-10,O=C(N(CCN(C(=O)C(=O)N)CC)CC)c1c(nccc1)N,2.6413824660922037e-06,0.388
C(C(=O)N)C1=CC=C(C(=C)C(C(=O)N))C=C1CC(=O)C2=CC3=CC=CC=C3C2,6.8775921318459E-10,O=C(Nc1c(cccc1)CC(=O)N)C2=Cc3c(cccc3)C2,7.629930967206321e-08,0.483
C(=O)(CC1=CC=CC(C(=C)N)=C1C)CC=CC=CC2=CC=CC(C(=O)(N))=C2,6.8775921318459E-10,O=C(NCC=CCNC(=O)Cc1cc(ccc1)C(=O)N)c2c(c(ccc2)CO)C,2.634677144749383e-08,0.394
CC(N)(C)C1=CC=CC=C1CCC(=C(C))CC=C(C)C2=CC=C(C)C=C2,6.8775921318459E-10,FC(F)(F)c1c(cccc1)CCNC(=O)c2ccc(cc2)C,5.782647411208766e-07,0.35
O=C(C(N)=CC1=CC=CC=C1)CC=C(C(=O)N)CC=CC2=CC(C(=O)N)=CC=C2,6.8775921318459E-10,O=C(N)c1cc(NC(=O)C(=Cc2ccccc2)CC)ccc1,7.376672572429295e-08,0.424
C(C(=O)N)=C(NC1=CC=CC=C1)C(=O)C2=CCC=C2CC3=CC=CC(C(=O)N)=C3,6.8775921318459E-10,O=C(Nc1ccccc1)NCc2cc(ccc2)C(=O)N,4.125966479155306e-07,0.466
O=C(CCC1=CC=CC=C1)NCC=2C(=O)CC3=CC=CC(C(=C(N))N)=C3C=2,6.99465772616584E-10,O=C(NCC=CCNC(=O)CCc1ccccc1)c2c3c(ccc2)CCC3=O,2.547224963687349e-08,0.448
O=C(C1=CC=CC(N)=C1)NC2=CC=CC=C2C=CC3=C(C(=O)N)CCC(C(=O))=C3,6.99465772616584E-10,ClC1=C(C(=O)Nc2cc(NC(=O)c3cc(N)ccc3)ccc2)CC1,1.1833192542966173e-07,0.406
O=C(CC1=CC(C(=O)N)=CC=C1)C=CC=C2C=CC=C(C(C(C(=O)N)))C2=C,7.11371592968838E-10,O=C(N)c1cc(ccc1)CC(=O)Nc2cc(ccc2)CCC(=O)N,1.7277310266162335e-08,0.422
CC1=CC=C(C(=O)N)C=C1NC(=O)CC=C2C(C(=O)C)=C(N)C=C2CCCCC,7.11371592968838E-10,O=C(N)c1cc(NC(=O)CCCCCCCC)c(cc1)C,5.225723265577915e-07,0.533
CC(N)(C)C1=CC=CC=C1CCC=C(C(=O)C)CCC=CC2=CN=C(N)C=C2,7.11371592968838E-10,O=C(NCc1c(cccc1)C(C)(C)C)CCc2cnc(N)cc2,4.6768036128584304e-08,0.38
O=C(CC1=CC=C(N)C(C(=O)N)=C1)N2C=C(C(O))CC(C3=CC=C(C(=O)C)C=C3)=C2,7.23480065922273E-10,O=C(N1CCN(C(=O)Cc2ccc(cc2)C(=O)N)CC1)c3ccc(cc3)C(=O)C,5.536682786610249e-08,0.369
O=C(CC1=CC=CC=C1)NCCC=C2C=CC3=CC(N)=C(C(=O)N)C=C3C2,7.23480065922273E-10,O=C(NCCNC(=O)Cc1ccccc1)c2c(N)cc3c(c2)CCCC3,7.759802350413329e-08,0.484
C(N)C1=CC=CC=C1CCC2=CC=CC=C2C=CC=CC(C(N))=C(N)C,7.35794640888658E-10,O=C(NCc1c(cccc1)C[NH3+])C=CC=Cc2ccccc2,1.1635147152901843e-07,0.364
NC1=CC=C(N)C=C1CC2=CC=CC=C2CCC(=O)C3=CC=C(C(N))CC3,7.35794640888658E-10,O=C(N1Cc2c(ccc(N)c2)C1)CCc3c(N4N=NC(c5ccc(N)cc5)=C4)cccc3,2.887292219440181e-09,0.266
C(=O)(N)CC1=CC=CC(C(=O)C)=C1CC=C(C)C(=O)C=C(N)C2=CC=CC=C2C,7.35794640888658E-10,O=C(Nc1c(cccc1)CC(=O)N)C=C(c2c(cccc2)C)C,1.6584521607389992e-07,0.458
C(CC(=C(=O)))=C(CC1=CC=CC=C1C)C2=CC(C(=O)N)=CC3=CC(C(=O)N)=CC=C32,7.48318825993242E-10,O=C(NCc1c(cccc1)C)c2c3c(cc(c2)C(=O)N)cccc3,5.444018486747391e-08,0.468
